URL,PART_NO,ADAPTABLE_FOR,ORIG_PART_NO
https://www.industriehof.com/en/catalogue/c13/c189/c925/c928/a1434/,1434,,
https://www.industriehof.com/en/catalogue/c13/c189/c925/c948/a1431-10-K/,1431-10-k,,
https://www.industriehof.com/en/catalogue/c12/c182/c2972/a38.0128/,38.0128,Vogel u. Noot,PR0.002.01
https://www.industriehof.com/en/catalogue/c4/c62/c124/c1887/a101.IND-977/,101.ind-977,Kverneland,KK301123R
https://www.industriehof.com/en/catalogue/c13/c189/c925/c927/a1434-1/,1434-1,,
https://www.industriehof.com/en/catalogue/c12/c182/c2972/a38.0129/,38.0129,Vogel u. Noot,PR0.001.02
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0100/,37.0100,Rabe,2700.30.02
https://www.industriehof.com/en/catalogue/c13/c189/c925/c927/a1434-15/,1434-15,,
https://www.industriehof.com/en/catalogue/c4/c3088/c3618/a101.SAM-500/,101.sam-500,Samson,1224374
https://www.industriehof.com/en/catalogue/c12/c182/c2972/c3448/a38.0128/,38.0128,Vogel u. Noot,PR0.002.01
https://www.industriehof.com/en/catalogue/c13/c1680/c1682/a652-GF208/,652-gf208,,
https://www.industriehof.com/en/catalogue/c12/c182/c2972/c3448/a38.0129/,38.0129,Vogel u. Noot,PR0.001.02
https://www.industriehof.com/en/catalogue/c12/c182/c2972/a38.0130/,38.0130,Vogel u. Noot,PR0.002.02
https://www.industriehof.com/en/catalogue/c13/c189/c925/c927/a1434-2/,1434-2,,
https://www.industriehof.com/en/catalogue/c4/c126/c1821/a620-BLT-3100/,620-blt-3100,,
https://www.industriehof.com/en/catalogue/c13/c187/c2171/c2341/a652-GI-1/,652-gi-1,,
https://www.industriehof.com/en/catalogue/c13/c189/c925/c927/a1434-3/,1434-3,,
https://www.industriehof.com/en/catalogue/c13/c189/c925/c927/a1434-4/,1434-4,,
https://www.industriehof.com/en/catalogue/c12/c182/c2972/a38.0131/,38.0131,Vogel u. Noot,PR0.001.03
https://www.industriehof.com/en/catalogue/c12/c182/c2972/c3448/a38.0130/,38.0130,Vogel u. Noot,PR0.002.02
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-1-A/,652-gi-1-a,,
https://www.industriehof.com/en/catalogue/c13/c189/c925/c927/a1434-8/,1434-8,,
https://www.industriehof.com/en/catalogue/c13/c189/c925/c927/a1434-7/,1434-7,,
https://www.industriehof.com/en/catalogue/c13/c186/c1676/c1684/a652-GI-1/,652-gi-1,,
https://www.industriehof.com/en/catalogue/c12/c182/c2972/c3448/a38.0131/,38.0131,Vogel u. Noot,PR0.001.03
https://www.industriehof.com/en/catalogue/c12/c182/c2972/a38.0132/,38.0132,Vogel u. Noot,PR0.002.03
https://www.industriehof.com/en/catalogue/c11/c181/c989/c994/a1434KV/,1434kv,"Kverneland, Maschio / Gaspardo","Schraube: KK013332 / KK013333 - Mutter: KK016015, EVO000158R"
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-1-E/,652-gi-1-e,,
https://www.industriehof.com/en/catalogue/c12/c182/c2972/a38.0133/,38.0133,Vogel u. Noot,PR0.001.04
https://www.industriehof.com/en/catalogue/c12/c182/c2972/c3448/a38.0132/,38.0132,Vogel u. Noot,PR0.002.03
